"wolbachia","c.hill","dav","la.jolla","nora","chaq","galbut","kallithea","sigma","thika","vera","motts_mill"
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,0,1,0,0,0,0
"w+",0,0,0,0,1,1,0,0,0,1,0
"w+",1,0,0,0,0,0,0,0,0,1,0
"w-",0,0,1,0,0,1,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w-",1,0,0,0,0,1,0,1,1,1,0
"w-",1,1,1,0,1,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,1,0,1,0,0,0,0,1,1,0
"w-",1,0,0,0,0,0,0,0,0,1,1
"w+",0,0,0,1,0,0,1,0,0,0,0
"w+",0,1,0,0,0,1,0,0,0,0,1
"w-",0,1,1,0,0,0,0,0,0,0,0
"w+",0,1,1,0,0,1,1,0,0,1,0
"w-",1,0,0,0,1,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,1,0,0
"w+",0,1,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,0,0,0,0,0,0,0,0,1,0
"w+",0,1,0,0,0,1,0,0,0,1,0
"w+",1,0,0,0,1,0,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w-",0,0,0,1,1,1,0,0,1,1,0
"w+",NA,0,0,0,0,0,0,1,0,1,0
"w+",1,1,0,0,0,1,1,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w-",0,1,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w-",0,0,0,0,0,0,0,0,0,0,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w+",1,0,0,1,0,0,0,0,0,1,0
"w+",0,0,0,1,0,1,0,0,1,0,0
"w+",1,0,0,0,0,0,0,0,0,1,1
"w-",0,0,0,0,0,1,0,0,0,0,0
"w+",1,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w-",0,0,0,0,1,1,0,0,0,1,0
"w+",0,1,0,1,0,0,0,0,0,1,0
"w+",1,0,0,1,0,0,0,0,0,1,0
"w+",0,0,0,1,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,1,0,1,0,0,1,0,0
"w-",1,1,0,0,0,1,1,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w-",1,1,1,0,0,0,1,0,0,1,0
"w+",0,0,0,1,0,1,0,0,0,0,0
"w-",0,0,0,0,0,0,0,0,0,1,1
"w+",1,0,0,0,1,1,1,0,0,1,1
"w+",1,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,1,0,0,0,1,0
"w-",1,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,1,0,1,0,0,1,0,1,1,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,1,1,0,0,0,1,0
"w-",1,0,0,0,0,1,0,NA,0,1,0
"w-",1,0,0,1,1,1,0,0,0,1,1
"w+",0,0,0,0,0,0,0,0,1,0,0
"w+",1,0,0,0,0,0,0,0,0,1,1
"w+",0,1,1,0,0,1,0,0,0,0,0
"w+",0,1,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,0,0,0,0,0,0,1,0,1,1
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,1,0,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,0,0,0,0,0,0,0,0,1,1
"w+",0,0,0,0,0,0,0,0,1,0,0
"w+",0,1,0,0,0,1,0,0,0,1,0
"w+",0,0,1,0,0,1,1,0,0,0,0
"w-",0,0,0,0,0,0,0,0,0,1,0
"w+",0,1,0,1,0,1,0,0,0,1,0
"w+",0,1,0,1,0,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,1,1,1,0,0,0,1
"w+",0,1,0,0,0,1,0,1,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,1,0,0,0,1,1,0,0,1,0
"w+",0,0,1,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,1,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,1,1,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,1,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,0,0,0,1,1,0,0,0,1,0
"w-",0,1,0,0,0,1,0,1,0,1,1
"w+",0,1,0,0,0,1,0,0,0,0,0
"w+",0,0,0,1,0,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,0,0,0,0,0,0,0,0,1,0
"w+",1,0,0,0,1,1,0,0,0,1,1
"w+",0,0,0,0,0,0,0,1,0,1,0
"w+",1,0,0,0,0,1,0,0,0,0,1
"w+",1,0,0,0,0,1,0,0,1,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",0,1,0,0,0,1,0,0,0,1,0
"w-",1,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",1,1,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,0,0,0,0,1,0
"w-",0,1,0,0,1,1,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,1,0,0,0,0,0
"w+",0,1,0,0,0,1,1,0,0,1,0
"w+",1,1,0,0,0,0,0,0,0,1,0
"w+",0,0,0,1,0,0,0,0,1,0,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,0,0,0,0,0,0,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w-",1,0,1,0,1,1,0,0,0,1,0
"w-",1,0,0,0,0,0,0,0,0,1,0
"w-",0,0,0,0,0,1,0,1,0,1,0
"w+",0,1,0,0,0,0,0,0,0,1,0
"w-",1,0,0,0,1,1,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,0,0
"w-",0,0,0,0,0,0,0,0,0,0,0
"w+",1,0,0,0,0,0,0,0,0,1,0
"w-",0,0,0,0,1,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,1,0,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,1,1,1,0,1,0,1,0
"w-",0,1,0,1,0,0,0,0,0,1,0
"w+",1,1,0,0,0,1,0,1,0,1,1
"w+",0,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,1
"w-",0,0,0,0,0,0,0,0,0,1,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w+",1,0,0,0,1,1,0,1,0,1,0
"w-",0,1,0,0,0,0,0,0,0,1,0
"w-",0,0,0,0,1,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",1,1,0,0,0,1,0,0,0,1,0
"w-",0,1,0,0,1,1,0,0,0,1,0
"w+",0,1,0,1,0,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",0,1,0,0,0,1,0,0,0,1,0
"w-",0,0,NA,0,1,NA,1,0,0,0,1
"w+",0,0,0,0,0,1,1,0,0,1,0
"w+",1,0,0,1,0,0,0,0,0,1,0
"w-",1,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,1,0,1,0,1,0
"w+",0,1,0,0,0,0,1,0,0,1,0
"w+",1,1,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w+",1,1,0,0,0,1,0,0,0,1,0
"w-",1,0,0,1,0,0,0,0,0,1,1
"w-",0,0,0,0,0,1,0,0,0,1,1
"w+",1,0,0,0,0,1,0,0,0,1,0
"w-",1,1,1,NA,1,NA,1,1,NA,1,1
"w-",0,0,0,0,1,1,NA,NA,0,1,1
"w-",0,NA,0,0,1,1,NA,1,0,1,1
"w+",0,0,0,0,1,1,0,0,0,0,0
"w+",1,1,1,0,0,1,1,1,0,1,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",1,0,0,0,0,1,0,1,0,1,1
"w-",0,0,0,1,1,1,0,0,0,1,0
"w+",1,0,0,0,0,0,0,NA,0,1,0
"w+",0,0,0,0,1,1,0,1,0,0,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w-",0,0,0,0,1,1,0,0,0,0,0
"w+",0,1,0,0,0,1,0,0,0,1,1
"w-",0,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,1,1,0,0,1,0
"w-",0,1,0,0,0,0,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,1
"w-",0,0,0,0,0,0,0,0,0,0,0
"w-",0,0,0,0,0,1,0,0,0,0,0
"w-",0,0,0,0,0,1,0,1,0,1,0
"w-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w+",0,1,0,0,0,1,0,0,0,0,0
"w+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w-",NA,NA,NA,0,0,0,NA,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",1,0,0,0,0,0,0,1,0,1,1
"w+",0,NA,NA,0,1,0,1,0,NA,1,1
"w-",0,0,0,0,0,0,0,0,0,0,0
"w+",1,1,0,0,0,1,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,1,1,1,0,1,1,0,0,1,1
"w-",0,0,0,0,0,1,0,0,1,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,0,0,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w-",1,1,0,0,1,1,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w+",1,0,0,0,0,1,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,NA
"w-",1,0,0,0,0,0,0,0,0,0,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,0,0,0,0,0,0
"w-",0,1,0,0,0,0,0,0,0,1,0
"w+",0,1,1,0,0,0,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w-",1,0,0,0,0,0,0,0,0,1,0
"w-",1,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,1,0,0,0,0,1,0
"w-",NA,NA,0,1,1,1,1,1,NA,1,1
"w-",1,0,0,0,0,1,0,0,0,1,1
"w-",NA,NA,NA,0,1,1,NA,0,NA,1,1
"w+",0,0,0,1,0,1,1,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,0,0,0,0,1,1
"w+",0,0,0,0,0,1,0,1,0,0,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,1,1,0
"w+",0,0,0,0,1,1,0,0,0,0,0
"w-",1,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,1,1,0,0,0,1,0
"w+",0,1,1,0,0,1,1,0,0,0,1
"w+",0,0,0,0,0,1,0,1,0,1,0
"w+",0,0,0,0,1,1,0,0,0,0,0
"w+",0,1,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,1
"w-",0,0,1,0,0,0,1,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",1,1,0,0,1,1,1,0,0,1,0
"w+",1,0,0,0,0,0,0,1,0,1,0
"w+",1,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,0,0,NA,0,0,0
"w+",0,1,0,0,1,1,0,0,0,1,0
"w-",1,0,0,0,0,1,0,0,0,1,1
"w+",1,0,0,0,0,1,0,0,0,1,0
"w-",1,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,1,0,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w-",1,0,0,0,1,1,0,0,0,1,1
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,0,0,1,0,1,1
"w+",1,1,0,0,0,1,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w-",1,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,1,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,1,1,0,1,0,0,0
"w+",0,0,0,0,0,0,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w-",0,1,0,0,0,1,1,0,0,1,1
"w+",1,0,0,0,0,1,0,0,0,1,1
"w+",0,1,0,1,0,1,0,0,0,0,1
"w+",1,0,0,0,0,1,1,0,1,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",1,0,0,0,0,0,0,0,0,1,0
"w+",0,1,0,0,0,0,1,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,1,1,0,0,0,1,0
"w-",0,1,0,0,0,1,0,0,0,1,0
"w-",0,0,0,1,0,1,0,0,0,1,0
"w+",1,0,0,0,0,1,0,1,0,1,0
"w-",0,1,0,0,0,0,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w-",0,1,0,0,0,0,0,1,0,1,0
"w+",1,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,0,1,0,0,1,0
"w+",0,0,0,1,0,0,0,0,0,0,0
"w-",0,1,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",1,0,0,0,1,1,0,1,0,1,1
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,0,0,1,0,1,0,0,0
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,1,0,0,0,0,0,0,0,1,0
"w-",1,0,0,0,1,1,0,0,0,1,1
"w+",0,1,0,1,0,1,1,1,0,1,0
"w+",0,1,0,0,1,1,0,0,0,1,0
"w+",1,0,0,1,0,0,0,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,1,0
"w-",0,0,0,0,1,1,0,0,0,1,0
"w+",0,0,0,0,0,0,0,0,0,1,0
"w+",1,1,0,0,1,0,1,0,0,1,0
"w+",0,1,1,1,0,1,1,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,1,0
"w+",0,0,0,1,0,0,0,1,0,0,0
"w+",1,0,0,0,1,1,0,0,0,1,0
"w+",0,0,0,0,1,1,0,0,0,0,1
"w-",0,0,0,0,0,1,0,0,0,1,1
"w+",0,0,0,0,0,1,0,0,0,1,0
"w-",1,0,0,0,0,1,0,1,0,1,0
"w+",0,0,0,1,0,0,0,0,0,0,0
"w+",0,0,0,0,0,0,0,0,1,0,0
"w+",0,1,1,0,0,0,1,1,0,1,0
